arrival_time,departure_time,stop_id,stop_name
15:10:00,15:25:00,20001590,Bethlehem College
15:56:45,15:56:45,20001285,Maunganui Road - Rata Street
15:57:41,15:57:41,20001426,Salisbury Avenue
15:58:58,15:58:58,20001519,The Mall - Pacific Avenue
16:00:24,16:00:24,20001001,Adams Avenue - Hot Pools
16:01:16,16:01:16,20001278,Maunganui Road - Commons Avenue
16:01:47,16:01:47,20002216,Maunganui Road - Mt Drury Reserve
16:02:22,16:02:22,20001280,Maunganui Road - Shopping Centre
16:04:58,16:04:58,20001830,Oceanview Road - Sutherland Avenue - East
16:05:41,16:05:41,20001828,Oceanview Road  - Terrace Avenue
16:06:37,16:06:37,20001945,Tay Street  - Valley Road
16:07:18,16:07:18,20001978,Valley Road - Clyde Street - East
16:08:16,16:08:16,20001976,Valley Road - Tweed Street - East
16:08:55,16:08:55,20001974,Valley Road - Dee Street
16:10:00,16:10:00,20002335,Valley Road - Moa Street
