stop_name,arrival_time,departure_time
Tauranga City - Durham Street (Stand C),08:05:00,08:05:00
Grey Street - Elizabeth Street,08:05:57,08:05:57
Devonport Road - Second Avenue,08:07:04,08:07:04
Devonport Road - Memorial Park,08:08:35,08:08:35
Devonport Road - Opposite Tenth Avenue,08:09:19,08:09:19
Eleventh Avenue - Memorial Park,08:10:17,08:10:17
Fraser Street - Kotare Crescent,08:10:52,08:10:52
Fraser Street - Thirteenth Avenue - South,08:11:48,08:11:48
Fraser Street - Fourteenth Avenue - South,08:12:14,08:12:14
Fraser Street - Sixteenth Avenue,08:13:03,08:13:03
Fraser Street - Tauranga Intermediate,08:14:23,08:14:23
Opposite Fraser Cove,08:15:00,08:15:00
Fraser Street - Lloyd Street,08:15:45,08:15:45
Fraser Street - Oxford Street,08:16:45,08:16:45
Fraser Street - Hampton Terrace,08:17:29,08:17:29
Fraser Street -  Esk Street,08:18:05,08:18:05
Fraser Street - Yatton Park,08:19:06,08:19:06
Fraser Street - Waimapu Street,08:19:47,08:19:47
Chadwick Rd - Harmens Way,08:20:51,08:20:51
Greerton - Chadwick Road (Stand B),08:22:00,08:25:00
Cameron Road - Maitland Street,08:26:42,08:26:42
Greenpark School,08:28:00,08:28:00
Pyes Pa Road - Cheyne Road,08:30:00,08:30:00
Cheyne Road - Annandale Drive,08:31:07,08:31:07
Cheyne Road - Opposite Taramea Rise,08:31:34,08:31:34
Cheyne Road - Tawhiri View,08:32:07,08:32:07
Cheyne Road - Tawai Dell,08:33:05,08:33:05
Cheyne Road Reserve,08:34:06,08:34:06
Condor Drive - Bellbird Rise,08:35:00,08:35:00
Condor Drive - The Boulevard,08:36:05,08:36:05
Inverness Drive - Veda Place,08:37:30,08:37:30
Pyes Pa Road - Saville Place,08:38:39,08:38:39
Pyes Pa Road - Kopu Drive,08:40:00,08:40:00
